id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
xdx57Qj1FJi0MK8kwzbeuA,la-calle-tacos-houston-16,La Calle Tacos,https://s3-media4.fl.yelpcdn.com/bphoto/kBz7FTgW_qDGoFn5IIST9w/o.jpg,False,https://www.yelp.com/biz/la-calle-tacos-houston-16?adjust_creative=lt7uJL4ENNZHumR0NPWghA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lt7uJL4ENNZHumR0NPWghA,1153,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'latin', 'title': 'Latin American'}]",4.0,"{'latitude': 29.7634662971423, 'longitude': -95.3606901858526}","['delivery', 'pickup']","{'address1': '909 Franklin St', 'address2': '', 'address3': '', 'city': 'Houston', 'zip_code': '77002', 'country': 'US', 'state': 'TX', 'display_address': ['909 Franklin St', 'Houston, TX 77002']}",+18327358226,(832) 735-8226,86.24835837232919,
MuqrcFUxtovR-0Z4rlSwwg,space-city-birria-houston,Space City Birria,https://s3-media2.fl.yelpcdn.com/bphoto/V3Uh6jGWgBG8UYFeMD5XXw/o.jpg,False,https://www.yelp.com/biz/space-city-birria-houston?adjust_creative=lt7uJL4ENNZHumR0NPWghA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lt7uJL4ENNZHumR0NPWghA,177,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.6,"{'latitude': 29.7623351, 'longitude': -95.3630325}","['pickup', 'restaurant_reservation', 'delivery']","{'address1': '415 Milam St', 'address2': None, 'address3': None, 'city': 'Houston', 'zip_code': '77002', 'country': 'US', 'state': 'TX', 'display_address': ['415 Milam St', 'Houston, TX 77002']}",+18328027333,(832) 802-7333,355.96825292255966,
XDJPJlO7-ZrOQlJMz5W5Wg,clutch-city-burgers-houston-3,Clutch City Burgers,https://s3-media4.fl.yelpcdn.com/bphoto/cprjW7X40MtHNl0bDJWn9w/o.jpg,False,https://www.yelp.com/biz/clutch-city-burgers-houston-3?adjust_creative=lt7uJL4ENNZHumR0NPWghA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lt7uJL4ENNZHumR0NPWghA,12,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.9,"{'latitude': 29.775491, 'longitude': -95.37214}",[],"{'address1': '2004 Houston Ave', 'address2': None, 'address3': '', 'city': 'Houston', 'zip_code': '77007', 'country': 'US', 'state': 'TX', 'display_address': ['2004 Houston Ave', 'Houston, TX 77007']}",+18324525574,(832) 452-5574,1817.3998572664484,
Fnw1x13LGMOQEqfETga7RA,burger-chan-houston-3,burger-chan,https://s3-media3.fl.yelpcdn.com/bphoto/P6waF0tuq3KYrvRCzwqJwg/o.jpg,False,https://www.yelp.com/biz/burger-chan-houston-3?adjust_creative=lt7uJL4ENNZHumR0NPWghA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lt7uJL4ENNZHumR0NPWghA,219,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}]",4.8,"{'latitude': 29.737488, 'longitude': -95.469445}","['delivery', 'pickup']","{'address1': '5353 W Alabama St', 'address2': 'Ste 110', 'address3': None, 'city': 'Houston', 'zip_code': '77056', 'country': 'US', 'state': 'TX', 'display_address': ['5353 W Alabama St', 'Ste 110', 'Houston, TX 77056']}",+18324080860,(832) 408-0860,10927.374160502268,
x_ydKiBBpgcd0PPaiipZIw,roostar-vietnamese-grill-houston-7,Roostar Vietnamese Grill,https://s3-media2.fl.yelpcdn.com/bphoto/RY6zIdqRe7jtJXRk9r_LWA/o.jpg,False,https://www.yelp.com/biz/roostar-vietnamese-grill-houston-7?adjust_creative=lt7uJL4ENNZHumR0NPWghA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lt7uJL4ENNZHumR0NPWghA,148,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'soup', 'title': 'Soup'}]",4.5,"{'latitude': 29.756593124883608, 'longitude': -95.34072824776295}","['pickup', 'delivery']","{'address1': '2929 Navigation Blvd', 'address2': 'Ste 190', 'address3': None, 'city': 'Houston', 'zip_code': '77003', 'country': 'US', 'state': 'TX', 'display_address': ['2929 Navigation Blvd', 'Ste 190', 'Houston, TX 77003']}",+17136369710,(713) 636-9710,1988.997203272558,
n8MvjjhuUg8NAQKinUASHw,underground-hall-houston,Underground Hall,https://s3-media3.fl.yelpcdn.com/bphoto/feu0KK2x31vo7Pg92HdjUQ/o.jpg,False,https://www.yelp.com/biz/underground-hall-houston?adjust_creative=lt7uJL4ENNZHumR0NPWghA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lt7uJL4ENNZHumR0NPWghA,132,"[{'alias': 'food_court', 'title': 'Food Court'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.4,"{'latitude': 29.76038, 'longitude': -95.36162}",['delivery'],"{'address1': '1010 Prairie St', 'address2': None, 'address3': '', 'city': 'Houston', 'zip_code': '77002', 'country': 'US', 'state': 'TX', 'display_address': ['1010 Prairie St', 'Houston, TX 77002']}",+12818884323,(281) 888-4323,351.703072987369,
uxC7VWWWK6PQOvNw0-fOnA,tumble-22-houston-2,Tumble 22,https://s3-media3.fl.yelpcdn.com/bphoto/VeZSTb0SexH5WKLT-Hidpg/o.jpg,False,https://www.yelp.com/biz/tumble-22-houston-2?adjust_creative=lt7uJL4ENNZHumR0NPWghA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lt7uJL4ENNZHumR0NPWghA,109,"[{'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.6,"{'latitude': 29.7679, 'longitude': -95.372638}","['pickup', 'delivery']","{'address1': '1017 Houston Ave', 'address2': None, 'address3': '', 'city': 'Houston', 'zip_code': '77007', 'country': 'US', 'state': 'TX', 'display_address': ['1017 Houston Ave', 'Houston, TX 77007']}",+12815009190,(281) 500-9190,1342.0856514008499,
3Xc_c-5wLZMbVVNX8KuuAQ,xeo-yum-houston,Xeo Yum,https://s3-media3.fl.yelpcdn.com/bphoto/BEjVzQ11e2X01tL36s8sjg/o.jpg,False,https://www.yelp.com/biz/xeo-yum-houston?adjust_creative=lt7uJL4ENNZHumR0NPWghA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lt7uJL4ENNZHumR0NPWghA,52,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]",4.7,"{'latitude': 29.746456, 'longitude': -95.377976}","['pickup', 'delivery']","{'address1': '606 Dennis St', 'address2': 'Ste 211', 'address3': None, 'city': 'Houston', 'zip_code': '77006', 'country': 'US', 'state': 'TX', 'display_address': ['606 Dennis St', 'Ste 211', 'Houston, TX 77006']}",+18322028812,(832) 202-8812,2535.464027482042,
Ocu65CGeAUe9JxsiQBdQ7Q,noodle-hot-pot-houston,Noodle Hot Pot,https://s3-media2.fl.yelpcdn.com/bphoto/MC7nP0u4lhVbo_lxg9oizQ/o.jpg,False,https://www.yelp.com/biz/noodle-hot-pot-houston?adjust_creative=lt7uJL4ENNZHumR0NPWghA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lt7uJL4ENNZHumR0NPWghA,34,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]",4.4,"{'latitude': 29.702941, 'longitude': -95.57446}",[],"{'address1': '11107 Bellaire Blvd', 'address2': 'Ste 1-2', 'address3': '', 'city': 'Houston', 'zip_code': '77072', 'country': 'US', 'state': 'TX', 'display_address': ['11107 Bellaire Blvd', 'Ste 1-2', 'Houston, TX 77072']}",+18325863555,(832) 586-3555,21768.511730196562,
gZzWu2xW9eFmhu9Quhy-CA,5411-empanadas-houston-3,5411 Empanadas,https://s3-media2.fl.yelpcdn.com/bphoto/g-oq_YHvPl1chG9ZZkSODQ/o.jpg,False,https://www.yelp.com/biz/5411-empanadas-houston-3?adjust_creative=lt7uJL4ENNZHumR0NPWghA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=lt7uJL4ENNZHumR0NPWghA,115,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'empanadas', 'title': 'Empanadas'}, {'alias': 'argentine', 'title': 'Argentine'}]",4.3,"{'latitude': 29.7592707401387, 'longitude': -95.3662825000605}","['delivery', 'pickup']","{'address1': '811 Louisiana St', 'address2': 'Ste 320', 'address3': None, 'city': 'Houston', 'zip_code': '77002', 'country': 'US', 'state': 'TX', 'display_address': ['811 Louisiana St', 'Ste 320', 'Houston, TX 77002']}",+18327425332,(832) 742-5332,739.8697157528218,
